X,Y,Unique Squirrel ID,Shift,Date,Age
-73.96,40.80,40B-AM-1019-03,AM,2018-10-19,Juvenile
-73.98,40.77,3E-PM-1008-07,PM,2018-10-08,Adult
-73.96,40.80,39C-PM-1006-01,PM,2018-10-06,Adult
-73.97,40.77,6G-AM-1008-02,AM,2018-10-08,Juvenile
-73.97,40.78,14F-AM-1007-05,AM,2018-10-07,Juvenile
-73.97,40.77,6I-PM-1013-06,PM,2018-10-13,Adult
-73.97,40.78,15F-PM-1010-05,PM,2018-10-10,Adult
-73.98,40.77,8B-PM-1012-02,PM,2018-10-12,Adult
-73.98,40.77,3A-PM-1017-06,PM,2018-10-17,Adult
-73.95,40.79,36I-AM-1017-02,AM,2018-10-17,Adult
-73.97,40.77,5E-AM-1008-06,AM,2018-10-08,Adult
-73.96,40.79,32E-PM-1017-13,PM,2018-10-17,Adult
-73.97,40.77,5F-PM-1007-03,PM,2018-10-07,Adult
-73.97,40.78,11B-PM-1014-05,PM,2018-10-14,Adult
-73.97,40.78,16E-PM-1018-06,PM,2018-10-18,Adult
-73.97,40.78,13F-AM-1007-02,AM,2018-10-07,Adult
-73.97,40.78,20B-PM-1013-10,PM,2018-10-13,Adult
-73.98,40.77,3A-PM-1017-05,PM,2018-10-17,Adult
-73.96,40.79,29H-PM-1006-01,PM,2018-10-06,Adult
-73.97,40.78,23C-PM-1014-03,PM,2018-10-14,Adult
-73.96,40.79,33C-PM-1007-03,PM,2018-10-07,Adult
-73.95,40.79,38G-PM-1020-09,PM,2018-10-20,Adult
-73.97,40.78,16G-PM-1017-01,PM,2018-10-17,Adult
-73.95,40.79,36I-PM-1007-07,PM,2018-10-07,Adult
-73.96,40.80,35A-AM-1014-03,AM,2018-10-14,Adult
-73.96,40.79,28C-PM-1006-01,PM,2018-10-06,Adult
-73.96,40.79,32D-AM-1013-06,AM,2018-10-13,Adult
-73.97,40.78,22A-AM-1008-05,AM,2018-10-08,Adult
-73.96,40.80,40B-PM-1014-06,PM,2018-10-14,Adult
-73.97,40.78,19C-PM-1018-01,PM,2018-10-18,Adult
-73.96,40.79,35A-PM-1013-06,PM,2018-10-13,Adult
-73.97,40.78,14E-AM-1008-09,AM,2018-10-08,Adult
-73.97,40.78,15G-PM-1019-05,PM,2018-10-19,Adult
-73.97,40.77,10F-AM-1007-02,AM,2018-10-07,Adult
-73.95,40.80,42E-PM-1012-06,PM,2018-10-12,Adult
-73.97,40.78,22B-AM-1013-04,AM,2018-10-13,Adult
-73.97,40.78,15F-PM-1010-06,PM,2018-10-10,Adult
-73.98,40.77,5A-AM-1006-05,AM,2018-10-06,Adult
-73.96,40.79,32H-PM-1006-01,PM,2018-10-06,
-73.96,40.80,42C-AM-1007-02,AM,2018-10-07,
-73.96,40.80,41D-AM-1014-01,AM,2018-10-14,Adult
-73.96,40.78,21G-PM-1007-01,PM,2018-10-07,Adult
-73.97,40.78,14E-AM-1008-02,AM,2018-10-08,Adult
-73.97,40.77,7H-PM-1006-04,PM,2018-10-06,Adult
-73.96,40.78,22F-AM-1007-01,AM,2018-10-07,Adult
-73.97,40.77,7F-AM-1008-16,AM,2018-10-08,Juvenile
-73.97,40.77,10F-PM-1019-05,PM,2018-10-19,Adult
-73.98,40.77,10A-AM-1006-04,AM,2018-10-06,Juvenile
-73.95,40.80,38F-PM-1013-05,PM,2018-10-13,Juvenile
-73.96,40.80,41B-PM-1014-01,PM,2018-10-14,Adult
-73.96,40.80,36A-PM-1013-07,PM,2018-10-13,
-73.98,40.77,5C-AM-1006-05,AM,2018-10-06,Adult
-73.96,40.79,32E-PM-1017-03,PM,2018-10-17,Adult
-73.96,40.79,31A-PM-1017-04,PM,2018-10-17,Adult
-73.95,40.80,42G-AM-1018-03,AM,2018-10-18,Adult
-73.96,40.80,37D-PM-1014-04,PM,2018-10-14,Adult
-73.97,40.79,24B-AM-1013-01,AM,2018-10-13,
-73.97,40.77,7G-AM-1010-02,AM,2018-10-10,Adult
-73.98,40.77,5C-PM-1010-13,PM,2018-10-10,Adult
-73.97,40.78,15I-AM-1008-01,AM,2018-10-08,Adult
-73.97,40.78,19B-PM-1018-01,PM,2018-10-18,Adult
-73.97,40.78,13D-PM-1018-10,PM,2018-10-18,Adult
-73.95,40.79,36I-PM-1007-10,PM,2018-10-07,Juvenile
-73.96,40.80,41B-AM-1010-06,AM,2018-10-10,Adult
-73.96,40.79,35B-AM-1010-01,AM,2018-10-10,Adult
-73.96,40.80,40D-PM-1013-01,PM,2018-10-13,Adult
-73.96,40.80,38B-PM-1018-02,PM,2018-10-18,Adult
-73.95,40.80,40I-AM-1018-01,AM,2018-10-18,Adult
-73.98,40.77,7B-AM-1008-10,AM,2018-10-08,Adult
-73.97,40.78,13D-AM-1014-08,AM,2018-10-14,Adult
-73.97,40.78,16G-AM-1010-03,AM,2018-10-10,Adult
-73.96,40.80,40A-AM-1010-03,AM,2018-10-10,Adult
-73.97,40.78,15I-PM-1012-07,PM,2018-10-12,Adult
-73.98,40.77,3B-PM-1007-11,PM,2018-10-07,Adult
-73.97,40.78,21D-AM-1008-02,AM,2018-10-08,Adult
-73.97,40.77,10B-PM-1014-05,PM,2018-10-14,Adult
-73.97,40.78,13E-PM-1008-07,PM,2018-10-08,Adult
-73.96,40.80,41A-PM-1007-06,PM,2018-10-07,Adult
-73.98,40.77,2F-AM-1006-05,AM,2018-10-06,Adult
-73.97,40.78,20B-AM-1007-01,AM,2018-10-07,Adult
-73.97,40.79,26A-PM-1006-06,PM,2018-10-06,Adult
-73.96,40.79,35E-PM-1006-07,PM,2018-10-06,Adult
-73.97,40.77,11G-PM-1013-01,PM,2018-10-13,Adult
-73.95,40.79,36I-PM-1007-13,PM,2018-10-07,Adult
-73.98,40.77,7A-AM-1006-01,AM,2018-10-06,Adult
-73.97,40.77,7G-PM-1018-03,PM,2018-10-18,Adult
-73.97,40.78,14E-AM-1008-05,AM,2018-10-08,Adult
-73.98,40.77,3D-PM-1010-03,PM,2018-10-10,Adult
-73.96,40.79,35D-PM-1013-09,PM,2018-10-13,Adult
-73.97,40.77,7F-PM-1012-01,PM,2018-10-12,Adult
-73.97,40.78,18G-PM-1013-01,PM,2018-10-13,Adult
-73.97,40.77,6F-PM-1008-01,PM,2018-10-08,Adult
-73.97,40.77,9F-AM-1013-04,AM,2018-10-13,Adult
-73.96,40.80,38E-AM-1010-09,AM,2018-10-10,Adult
-73.96,40.79,33G-AM-1013-02,AM,2018-10-13,Adult
-73.95,40.80,39G-AM-1018-01,AM,2018-10-18,Adult
-73.96,40.79,32G-PM-1013-03,PM,2018-10-13,Juvenile
-73.98,40.77,4D-PM-1008-11,PM,2018-10-08,Adult
-73.97,40.77,6H-AM-1008-01,AM,2018-10-08,Adult
-73.98,40.77,5E-AM-1008-08,AM,2018-10-08,Adult
-73.97,40.78,15D-PM-1017-01,PM,2018-10-17,Adult
-73.97,40.78,16E-AM-1014-03,AM,2018-10-14,Adult
-73.95,40.79,39H-PM-1013-02,PM,2018-10-13,Juvenile
-73.96,40.80,39C-PM-1006-02,PM,2018-10-06,Adult
-73.96,40.79,31A-AM-1010-04,AM,2018-10-10,Adult
-73.97,40.77,9F-PM-1014-02,PM,2018-10-14,Adult
-73.96,40.78,21G-PM-1007-02,PM,2018-10-07,Adult
-73.98,40.77,2F-AM-1006-01,AM,2018-10-06,Adult
-73.96,40.78,20F-PM-1007-01,PM,2018-10-07,Adult
-73.96,40.79,35E-PM-1006-01,PM,2018-10-06,Adult
-73.97,40.77,9G-AM-1007-04,AM,2018-10-07,Adult
-73.98,40.77,5D-PM-1018-03,PM,2018-10-18,Adult
-73.97,40.78,14F-PM-1012-06,PM,2018-10-12,Adult
-73.96,40.78,23F-AM-1018-01,AM,2018-10-18,Adult
-73.96,40.80,39A-PM-1014-02,PM,2018-10-14,Adult
-73.97,40.78,13A-PM-1014-03,PM,2018-10-14,Adult
-73.97,40.77,10B-AM-1006-02,AM,2018-10-06,Juvenile
-73.96,40.80,38B-AM-1019-01,AM,2018-10-19,Adult
-73.97,40.77,9G-PM-1007-06,PM,2018-10-07,Adult
-73.96,40.80,40B-AM-1019-02,AM,2018-10-19,Juvenile
-73.96,40.79,35D-PM-1013-04,PM,2018-10-13,Juvenile
-73.97,40.77,10G-PM-1017-10,PM,2018-10-17,Adult
-73.97,40.78,13C-AM-1010-04,AM,2018-10-10,Adult
-73.96,40.79,32C-PM-1013-12,PM,2018-10-13,Adult
-73.96,40.79,37F-PM-1014-01,PM,2018-10-14,
-73.96,40.79,31D-PM-1006-04,PM,2018-10-06,Adult
-73.96,40.78,15I-PM-1012-03,PM,2018-10-12,Adult
-73.97,40.78,19C-PM-1018-04,PM,2018-10-18,Adult
-73.97,40.77,10F-PM-1019-12,PM,2018-10-19,Adult
-73.97,40.78,18C-PM-1018-01,PM,2018-10-18,
-73.98,40.77,7B-AM-1008-11,AM,2018-10-08,Adult
-73.96,40.80,40E-AM-1014-02,AM,2018-10-14,Adult
-73.96,40.80,38B-AM-1019-05,AM,2018-10-19,Adult
-73.98,40.77,3B-AM-1010-09,AM,2018-10-10,Juvenile
-73.97,40.78,19B-AM-1019-02,AM,2018-10-19,Juvenile
-73.96,40.80,41B-AM-1010-07,AM,2018-10-10,Adult
-73.97,40.77,4G-AM-1006-02,AM,2018-10-06,
-73.97,40.77,12F-PM-1007-04,PM,2018-10-07,Adult
-73.98,40.77,3B-AM-1010-08,AM,2018-10-10,Juvenile
-73.97,40.78,17H-PM-1007-02,PM,2018-10-07,Adult
-73.95,40.79,38G-PM-1020-01,PM,2018-10-20,Adult
-73.98,40.77,4D-PM-1008-06,PM,2018-10-08,Adult
-73.97,40.77,3G-PM-1013-01,PM,2018-10-13,Adult
-73.97,40.78,15H-PM-1008-03,PM,2018-10-08,Adult
-73.97,40.78,14G-PM-1013-01,PM,2018-10-13,Adult
-73.98,40.77,5D-AM-1020-01,AM,2018-10-20,Adult
-73.98,40.77,5C-AM-1006-02,AM,2018-10-06,Adult
-73.95,40.80,42H-AM-1019-02,AM,2018-10-19,Adult
-73.96,40.80,38A-PM-1013-03,PM,2018-10-13,Adult
-73.97,40.77,7G-PM-1018-05,PM,2018-10-18,Adult
-73.96,40.79,31A-AM-1010-05,AM,2018-10-10,Adult
-73.97,40.78,22C-AM-1013-03,AM,2018-10-13,Juvenile
-73.96,40.79,36F-PM-1012-04,PM,2018-10-12,Adult
-73.96,40.79,30D-AM-1017-02,AM,2018-10-17,Adult
-73.98,40.77,5C-AM-1006-03,AM,2018-10-06,Adult
-73.97,40.77,13H-PM-1010-05,PM,2018-10-10,Adult
-73.97,40.77,10F-PM-1019-02,PM,2018-10-19,Juvenile
-73.97,40.77,5I-PM-1008-01,PM,2018-10-08,Adult
-73.97,40.78,16D-PM-1010-13,PM,2018-10-10,Adult
-73.96,40.78,21G-AM-1014-07,AM,2018-10-14,Adult
-73.97,40.78,22B-PM-1014-05,PM,2018-10-14,
-73.98,40.77,3D-AM-1006-08,AM,2018-10-06,Adult
-73.95,40.79,39H-AM-1007-01,AM,2018-10-07,Adult
-73.98,40.77,6D-PM-1020-01,PM,2018-10-20,Adult
-73.97,40.77,12E-PM-1018-06,PM,2018-10-18,Juvenile
-73.97,40.78,14D-PM-1019-04,PM,2018-10-19,Adult
-73.98,40.77,3E-PM-1008-03,PM,2018-10-08,Adult
-73.97,40.78,17F-PM-1020-03,PM,2018-10-20,Adult
-73.97,40.78,22D-PM-1012-04,PM,2018-10-12,Adult
-73.98,40.77,8A-AM-1013-03,AM,2018-10-13,Juvenile
-73.97,40.77,7E-AM-1006-03,AM,2018-10-06,Adult
-73.95,40.80,42G-PM-1014-03,PM,2018-10-14,Adult
-73.96,40.79,28C-PM-1006-02,PM,2018-10-06,Adult
-73.98,40.77,2D-AM-1007-03,AM,2018-10-07,Adult
-73.96,40.79,32E-AM-1007-10,AM,2018-10-07,Adult
-73.97,40.78,12C-AM-1013-03,AM,2018-10-13,Adult
-73.97,40.77,8F-PM-1012-04,PM,2018-10-12,Adult
-73.97,40.77,2H-AM-1006-02,AM,2018-10-06,Adult
-73.95,40.79,36I-AM-1017-05,AM,2018-10-17,Adult
-73.96,40.79,32B-AM-1017-03,AM,2018-10-17,Adult
-73.96,40.79,37E-PM-1006-04,PM,2018-10-06,Adult
-73.97,40.78,12B-AM-1007-02,AM,2018-10-07,Adult
-73.98,40.77,4E-PM-1008-08,PM,2018-10-08,Adult
-73.97,40.78,14A-PM-1014-01,PM,2018-10-14,Adult
-73.97,40.78,15F-PM-1010-07,PM,2018-10-10,Adult
-73.98,40.77,9B-PM-1013-07,PM,2018-10-13,Juvenile
-73.98,40.77,8C-PM-1013-05,PM,2018-10-13,Adult
-73.98,40.77,6B-PM-1017-04,PM,2018-10-17,Adult
-73.98,40.77,5D-AM-1020-02,AM,2018-10-20,Adult
-73.96,40.80,40A-AM-1010-04,AM,2018-10-10,Adult
-73.98,40.77,4E-AM-1020-01,AM,2018-10-20,Adult
-73.96,40.79,32E-AM-1007-01,AM,2018-10-07,Adult
-73.96,40.79,32E-PM-1017-04,PM,2018-10-17,Adult
-73.98,40.77,2D-PM-1012-02,PM,2018-10-12,Adult
-73.97,40.77,6F-PM-1008-05,PM,2018-10-08,Adult
-73.98,40.77,10B-PM-1014-02,PM,2018-10-14,Adult
-73.98,40.77,3C-PM-1008-02,PM,2018-10-08,Adult
-73.97,40.77,7F-AM-1008-02,AM,2018-10-08,Adult
-73.96,40.80,38D-AM-1017-02,AM,2018-10-17,Adult
-73.97,40.77,10C-PM-1013-04,PM,2018-10-13,
-73.96,40.78,26I-PM-1010-02,PM,2018-10-10,Adult
-73.98,40.78,10A-AM-1006-03,AM,2018-10-06,Juvenile
-73.98,40.77,1B-AM-1012-07,AM,2018-10-12,Adult
-73.98,40.77,9A-PM-1010-04,PM,2018-10-10,
-73.98,40.77,3D-AM-1006-03,AM,2018-10-06,Juvenile
-73.95,40.79,37H-AM-1018-03,AM,2018-10-18,Adult
-73.97,40.77,7F-AM-1008-09,AM,2018-10-08,Adult
-73.98,40.77,6A-AM-1006-06,AM,2018-10-06,Adult
-73.96,40.79,32I-AM-1013-05,AM,2018-10-13,Adult
-73.97,40.77,7H-PM-1006-02,PM,2018-10-06,Adult
-73.98,40.77,2E-PM-1014-05,PM,2018-10-14,Adult
-73.97,40.77,12F-AM-1020-02,AM,2018-10-20,Adult
-73.97,40.78,14E-AM-1008-01,AM,2018-10-08,Adult
-73.98,40.77,4B-PM-1018-03,PM,2018-10-18,Adult
-73.98,40.77,5E-PM-1012-02,PM,2018-10-12,Adult
-73.97,40.78,15F-AM-1007-09,AM,2018-10-07,Adult
-73.96,40.79,31F-PM-1007-01,PM,2018-10-07,Adult
-73.98,40.77,8B-PM-1012-03,PM,2018-10-12,Adult
-73.97,40.78,23D-AM-1013-01,AM,2018-10-13,Adult
-73.95,40.79,39H-PM-1013-01,PM,2018-10-13,Adult
-73.96,40.80,38C-AM-1019-04,AM,2018-10-19,Adult
-73.96,40.79,30B-PM-1019-08,PM,2018-10-19,Adult
-73.97,40.77,4F-PM-1013-04,PM,2018-10-13,Adult
-73.98,40.77,3E-PM-1008-05,PM,2018-10-08,Adult
-73.96,40.80,35A-AM-1014-05,AM,2018-10-14,Juvenile
-73.98,40.77,5A-PM-1010-01,PM,2018-10-10,Adult
-73.96,40.79,33I-AM-1008-03,AM,2018-10-08,Adult
-73.96,40.80,37C-PM-1013-03,PM,2018-10-13,Adult
-73.96,40.79,33B-PM-1010-11,PM,2018-10-10,Adult
-73.97,40.77,10G-PM-1017-06,PM,2018-10-17,Adult
-73.95,40.79,37I-AM-1010-01,AM,2018-10-10,Adult
-73.95,40.79,37G-PM-1007-07,PM,2018-10-07,Adult
-73.97,40.77,11G-AM-1012-01,AM,2018-10-12,Adult
-73.97,40.78,13C-PM-1019-01,PM,2018-10-19,Adult
-73.97,40.78,20A-AM-1010-02,AM,2018-10-10,Adult
-73.97,40.78,15A-PM-1017-01,PM,2018-10-17,Adult
-73.97,40.78,16E-AM-1014-02,AM,2018-10-14,Adult
-73.96,40.79,37E-PM-1006-06,PM,2018-10-06,Adult
-73.97,40.78,22C-AM-1013-01,AM,2018-10-13,Adult
-73.97,40.78,16F-PM-1013-02,PM,2018-10-13,Adult
-73.97,40.77,8H-AM-1017-04,AM,2018-10-17,Adult
-73.98,40.77,1G-PM-1010-01,PM,2018-10-10,Adult
-73.97,40.78,20A-PM-1017-01,PM,2018-10-17,Adult
-73.96,40.80,37B-AM-1018-03,AM,2018-10-18,Adult
-73.97,40.78,15F-PM-1010-03,PM,2018-10-10,Adult
-73.96,40.79,37E-PM-1006-09,PM,2018-10-06,Adult
-73.96,40.79,35D-PM-1013-03,PM,2018-10-13,Juvenile
-73.95,40.79,36I-AM-1017-06,AM,2018-10-17,Adult
-73.97,40.77,3I-PM-1013-07,PM,2018-10-13,Adult
-73.97,40.77,12G-PM-1007-04,PM,2018-10-07,
-73.98,40.77,4D-PM-1008-08,PM,2018-10-08,Adult
-73.95,40.79,39H-AM-1007-02,AM,2018-10-07,Adult
-73.98,40.77,8C-PM-1013-08,PM,2018-10-13,
-73.97,40.78,15E-PM-1008-05,PM,2018-10-08,Adult
-73.97,40.77,10I-AM-1010-03,AM,2018-10-10,Adult
-73.96,40.79,32I-AM-1013-01,AM,2018-10-13,Adult
-73.97,40.78,19B-PM-1018-05,PM,2018-10-18,Juvenile
-73.98,40.77,3B-PM-1007-03,PM,2018-10-07,Adult
-73.96,40.79,35E-PM-1006-06,PM,2018-10-06,Adult
-73.96,40.80,38C-AM-1019-07,AM,2018-10-19,Adult
-73.96,40.78,19H-AM-1010-05,AM,2018-10-10,Adult
-73.96,40.79,32D-PM-1006-09,PM,2018-10-06,Juvenile
-73.95,40.80,39G-PM-1013-04,PM,2018-10-13,Adult
-73.95,40.80,38G-PM-1020-10,PM,2018-10-20,Adult
-73.95,40.79,34I-PM-1010-01,PM,2018-10-10,Adult
-73.97,40.78,12A-PM-1013-04,PM,2018-10-13,
-73.97,40.78,19F-AM-1007-02,AM,2018-10-07,Adult
-73.97,40.78,20C-PM-1018-09,PM,2018-10-18,Adult
-73.97,40.78,22A-PM-1017-01,PM,2018-10-17,Adult
-73.95,40.79,33I-PM-1006-07,PM,2018-10-06,Adult
-73.96,40.79,36E-AM-1013-03,AM,2018-10-13,Adult
-73.96,40.79,32F-AM-1012-01,AM,2018-10-12,
-73.96,40.79,28D-AM-1012-02,AM,2018-10-12,Adult
-73.97,40.77,10G-AM-1006-01,AM,2018-10-06,Adult
-73.95,40.80,39G-PM-1013-07,PM,2018-10-13,Adult
-73.97,40.78,21E-PM-1012-02,PM,2018-10-12,Adult
-73.97,40.78,17E-PM-1018-03,PM,2018-10-18,Adult
-73.97,40.78,14D-AM-1014-03,AM,2018-10-14,Adult
-73.95,40.80,39F-PM-1006-03,PM,2018-10-06,Adult
-73.97,40.77,10F-PM-1019-11,PM,2018-10-19,Adult
-73.97,40.79,27A-PM-1006-01,PM,2018-10-06,Juvenile
-73.97,40.78,18D-AM-1018-02,AM,2018-10-18,Adult
-73.98,40.77,6A-AM-1006-03,AM,2018-10-06,Adult
-73.98,40.77,4E-PM-1008-04,PM,2018-10-08,Adult
-73.96,40.79,27I-PM-1020-05,PM,2018-10-20,Adult
-73.98,40.77,10A-PM-1014-04,PM,2018-10-14,Adult
-73.97,40.78,14I-PM-1018-05,PM,2018-10-18,Adult
-73.97,40.77,1H-AM-1012-01,AM,2018-10-12,Adult
-73.97,40.77,8H-PM-1014-05,PM,2018-10-14,Juvenile
-73.96,40.79,30E-AM-1008-01,AM,2018-10-08,Adult
-73.97,40.78,16A-PM-1019-04,PM,2018-10-19,Adult
-73.98,40.77,8B-PM-1012-06,PM,2018-10-12,Adult
-73.97,40.77,8F-PM-1012-03,PM,2018-10-12,Adult
-73.97,40.77,11E-AM-1013-02,AM,2018-10-13,Adult
-73.96,40.78,22I-AM-1007-03,AM,2018-10-07,Adult
-73.95,40.79,37G-PM-1007-09,PM,2018-10-07,Adult
-73.97,40.78,15F-AM-1007-04,AM,2018-10-07,Adult
-73.97,40.78,13E-AM-1017-08,AM,2018-10-17,Adult
-73.97,40.78,14D-AM-1014-10,AM,2018-10-14,Adult
-73.97,40.77,7H-AM-1006-06,AM,2018-10-06,Adult
-73.97,40.77,1H-PM-1013-01,PM,2018-10-13,Adult
-73.96,40.80,41C-PM-1007-04,PM,2018-10-07,Adult
-73.96,40.79,29B-PM-1010-05,PM,2018-10-10,Adult
-73.98,40.77,6D-PM-1020-03,PM,2018-10-20,Juvenile
-73.97,40.78,15B-PM-1017-05,PM,2018-10-17,Adult
-73.96,40.78,18I-AM-1017-03,AM,2018-10-17,Adult
-73.97,40.78,12D-PM-1014-02,PM,2018-10-14,Adult
-73.97,40.79,26A-PM-1006-05,PM,2018-10-06,Adult
-73.96,40.79,32C-PM-1013-03,PM,2018-10-13,Adult
-73.96,40.79,35E-PM-1006-02,PM,2018-10-06,Adult
-73.97,40.78,14D-PM-1019-12,PM,2018-10-19,Adult
-73.96,40.79,32B-AM-1017-04,AM,2018-10-17,Adult
-73.96,40.80,38C-AM-1019-01,AM,2018-10-19,Juvenile
-73.97,40.78,15G-PM-1019-11,PM,2018-10-19,Adult
-73.97,40.77,11F-PM-1006-02,PM,2018-10-06,Adult
-73.97,40.77,10G-PM-1017-02,PM,2018-10-17,Adult
-73.96,40.79,34D-PM-1007-02,PM,2018-10-07,Adult
-73.95,40.79,37G-AM-1014-05,AM,2018-10-14,Adult
-73.96,40.79,30B-AM-1007-02,AM,2018-10-07,Adult
-73.98,40.77,7A-AM-1006-02,AM,2018-10-06,Adult
-73.97,40.78,20D-AM-1007-01,AM,2018-10-07,Adult
-73.96,40.79,32I-AM-1013-02,AM,2018-10-13,Juvenile
-73.98,40.77,8C-PM-1013-04,PM,2018-10-13,Juvenile
-73.97,40.78,13E-PM-1008-10,PM,2018-10-08,Adult
-73.98,40.77,5E-AM-1008-09,AM,2018-10-08,Adult
-73.96,40.80,39B-PM-1014-06,PM,2018-10-14,Adult
-73.96,40.79,32D-PM-1006-07,PM,2018-10-06,Adult
-73.96,40.78,21F-AM-1018-01,AM,2018-10-18,Adult
-73.96,40.79,33D-PM-1006-03,PM,2018-10-06,
-73.97,40.77,8E-PM-1008-01,PM,2018-10-08,Adult
-73.96,40.79,33E-PM-1012-01,PM,2018-10-12,Adult
-73.97,40.78,22C-AM-1013-02,AM,2018-10-13,Adult
-73.98,40.77,3B-PM-1007-01,PM,2018-10-07,Adult
-73.96,40.80,40E-AM-1014-01,AM,2018-10-14,Adult
-73.96,40.79,31G-PM-1007-01,PM,2018-10-07,Adult
-73.96,40.79,33E-AM-1014-03,AM,2018-10-14,Adult
-73.97,40.77,8E-PM-1008-08,PM,2018-10-08,Adult
-73.97,40.78,14D-PM-1019-11,PM,2018-10-19,Adult
-73.98,40.77,2C-AM-1010-03,AM,2018-10-10,Adult
-73.98,40.77,1B-AM-1012-12,AM,2018-10-12,Adult
-73.96,40.80,38C-PM-1014-06,PM,2018-10-14,Adult
-73.97,40.77,4I-PM-1007-03,PM,2018-10-07,Adult
-73.96,40.80,40C-PM-1006-03,PM,2018-10-06,Adult
-73.97,40.77,13H-PM-1010-03,PM,2018-10-10,Adult
-73.97,40.77,10H-AM-1014-05,AM,2018-10-14,
-73.97,40.77,12G-PM-1007-06,PM,2018-10-07,
-73.98,40.77,9B-PM-1013-10,PM,2018-10-13,Juvenile
-73.96,40.79,36C-PM-1013-06,PM,2018-10-13,Adult
-73.97,40.78,22D-PM-1012-01,PM,2018-10-12,Adult
-73.97,40.77,11I-PM-1012-03,PM,2018-10-12,Adult
-73.96,40.80,38A-PM-1013-01,PM,2018-10-13,Adult
-73.97,40.78,14F-PM-1012-01,PM,2018-10-12,Adult
-73.98,40.77,1D-AM-1006-09,AM,2018-10-06,Adult
-73.98,40.77,8B-AM-1007-09,AM,2018-10-07,Adult
-73.98,40.77,3B-PM-1007-07,PM,2018-10-07,Adult
-73.96,40.78,22G-PM-1018-03,PM,2018-10-18,Juvenile
-73.95,40.80,40G-PM-1013-02,PM,2018-10-13,Adult
